#,Name,Origin,Format,Comments
233,RPL_SERVICE,RFC1459,,
234,RPL_SERVLIST,RFC2812,<client> <name> <server> <mask> <type> <hopcount> <info>,A service entry in the service list
235,RPL_SERVLISTEND,RFC2812,<client> <mask> <type> :<info>,Termination of an RPL_SERVLIST list
236,RPL_STATSVERBOSE,ircu,,Verbose server list?
237,RPL_STATSENGINE,ircu,,Engine name?
238,RPL_STATSFLINE,ircu,,Feature lines?
239,RPL_STATSIAUTH,IRCnet,,
240,RPL_STATSVLINE,RFC2812,,
240,RPL_STATSXLINE,AustHex,,
241,RPL_STATSLLINE,RFC1459,<client> L <hostmask> * <servername> <maxdepth>,Reply to STATS (See RFC)
242,RPL_STATSUPTIME,RFC1459,<client> :Server Up <days> days <hours>:<minutes>:<seconds>,Reply to STATS (See RFC)
243,RPL_STATSOLINE,RFC1459,<client> O <hostmask> * <opername> [<privileges>] <class>,"Reply to STATS O (See RFC); The privileges field is an extension in some IRC daemons, which returns either the name of a set of privileges, or a set of privileges. The class extension field returns which connection class the o-line applies to (this is also know to be placeholders like ""0"" and ""-1"" when inapplicable.) ircu doesn't have the privileges field and irc2 uses it to display which port, if any, the oper is restricted to."
244,RPL_STATSHLINE,RFC1459,<client> H <hostmask> * <servername>,Reply to STATS (See RFC)
245,RPL_STATSSLINE,"Bahamut, IRCnet, Hybrid",,
245,RPL_STATSTLINE,Hybrid?,,
246,RPL_STATSPING,RFC2812,,
246,RPL_STATSSERVICE,Hybrid,,
246,RPL_STATSTLINE,ircu,,
246,RPL_STATSULINE,Hybrid,,
247,RPL_STATSBLINE,RFC2812,,
247,RPL_STATSXLINE,"Hybrid, PTlink, Unreal",,
247,RPL_STATSGLINE,ircu,,
248,RPL_STATSULINE,ircu,,
248,RPL_STATSDEFINE,IRCnet,,
249,RPL_STATSULINE,,,Extension to RFC1459?
249,RPL_STATSDEBUG,Hybrid,,
250,RPL_STATSDLINE,RFC2812,,
250,RPL_STATSCONN,"ircu, Unreal",,
251,RPL_LUSERCLIENT,RFC1459,<client> :There are <int> users and <int> invisible on <int> servers,"Reply to LUSERS command, other versions exist (eg. RFC2812); Text may vary."
252,RPL_LUSEROP,RFC1459,<client> <int> :operator(s) online,Reply to LUSERS command - Number of IRC operators online
253,RPL_LUSERUNKNOWN,RFC1459,<client> <int> :unknown connection(s),Reply to LUSERS command - Number of connections in an unknown/unregistered state
254,RPL_LUSERCHANNELS,RFC1459,<client> <int> :channels formed,Reply to LUSERS command - Number of channels formed
255,RPL_LUSERME,RFC1459,<client> :I have <int> clients and <int> servers,Reply to LUSERS command - Information about local connections; Text may vary.
256,RPL_ADMINME,RFC1459,<client> <server> :Administrative info,"Start of an RPL_ADMIN* reply. In practice, the server parameter is often never given, and instead the last parameter contains the text 'Administrative info about <server>'. Newer daemons seem to follow the RFC and output the server's hostname in the last parameter, but also output the server name in the text as per traditional daemons."
257,RPL_ADMINLOC1,RFC1459,<client> :<admin_location>,"Reply to ADMIN command (Location, first line)"
258,RPL_ADMINLOC2,RFC1459,<client> :<admin_location>,"Reply to ADMIN command (Location, second line)"
259,RPL_ADMINEMAIL,RFC1459,<client> :<email_address>,Reply to ADMIN command (E-mail address of administrator)
261,RPL_TRACELOG,RFC1459,<client> File <logfile> <debug_level>,See RFC
262,RPL_TRACEPING,,,Extension to RFC1459?
262,RPL_TRACEEND,RFC2812,<client> <server_name> <version>[.<debug_level>] :<info>,Used to terminate a list of RPL_TRACE* replies. Also known as RPL_ENDOFTRACE
263,RPL_TRYAGAIN,RFC2812,<client> <command> :Please wait a while and try again.,"When a server drops a command without processing it, it MUST use this reply. The last parameter text changes, and commonly provides the client with more information about why the command could not be processed (such as rate-limiting). Also known as RPL_LOAD_THROTTLED and RPL_LOAD2HI, I'm presuming they do the same thing."
264,RPL_USINGSSL,rusnet-ircd,,
265,RPL_LOCALUSERS,"aircd, Hybrid, Bahamut","<client> [<u> <m>] :Current local users <u>, max <m>","Returns the number of clients currently and the maximum number of clients that have been connected directly to this server at one time, respectively. The two optional parameters are not always provided. Also known as RPL_CURRENT_LOCAL"
266,RPL_GLOBALUSERS,"aircd, Hybrid, Bahamut","<client> [<u> <m>] :Current global users <u>, max <m>","Returns the number of clients currently connected to the network, and the maximum number of clients ever connected to the network at one time, respectively. Also known as RPL_CURRENT_GLOBAL"
267,RPL_START_NETSTAT,aircd,,
268,RPL_NETSTAT,aircd,,
269,RPL_END_NETSTAT,aircd,,
270,RPL_PRIVS,ircu,,
270,RPL_MAPUSERS,InspIRCd 2.0,"<client> :<count> servers and <count> users, average <average count> users per server",Moved to 018 in InspIRCd 3.0
271,RPL_SILELIST,ircu,,
272,RPL_ENDOFSILELIST,ircu,,
273,RPL_NOTIFY,aircd,,
274,RPL_ENDNOTIFY,aircd,,
274,RPL_STATSDELTA,IRCnet,,
275,RPL_STATSDLINE,"ircu, Ultimate",,
275,RPL_USINGSSL,Bahamut,<client> <nick> :is using a secure connection (SSL),
276,RPL_WHOISCERTFP,oftc-hybrid,<client> <nick> :has client certificate fingerprint <fingerprint>,"Shows the SSL/TLS certificate fingerprint used by the client with the given nickname. Only sent when users `""WHOIS""` themselves or when an operator sends the `""WHOIS""`. Also adopted by hybrid 8.1 and charybdis 3.2"
276,RPL_STATSRLINE,ircu,,
276,RPL_VCHANEXIST,Hybrid,,Gone from hybrid 7.1 (2003)
277,RPL_VCHANLIST,Hybrid,,Gone from hybrid 7.1 (2003)
278,RPL_VCHANHELP,Hybrid 7.0?,,Gone from hybrid 7.1 (2003)
280,RPL_GLIST,ircu,,
281,RPL_ENDOFGLIST,ircu,,
281,RPL_ACCEPTLIST,,,
282,RPL_ENDOFACCEPT,,,
282,RPL_JUPELIST,ircu,,
283,RPL_ALIST,,,
283,RPL_ENDOFJUPELIST,ircu,,
284,RPL_ENDOFALIST,,,
284,RPL_FEATURE,ircu,,
285,RPL_GLIST_HASH,,,
285,RPL_CHANINFO_HANDLE,aircd,,
285,RPL_NEWHOSTIS,QuakeNet,,
286,RPL_CHANINFO_USERS,aircd,,
286,RPL_CHKHEAD,QuakeNet,,
287,RPL_CHANINFO_CHOPS,aircd,,
287,RPL_CHANUSER,QuakeNet,,
288,RPL_CHANINFO_VOICES,aircd,,
288,RPL_PATCHHEAD,QuakeNet,,
289,RPL_CHANINFO_AWAY,aircd,,
289,RPL_PATCHCON,QuakeNet,,
290,RPL_CHANINFO_OPERS,aircd,,
290,RPL_HELPHDR,Unreal,,
290,RPL_DATASTR,QuakeNet,,
291,RPL_CHANINFO_BANNED,aircd,,
291,RPL_HELPOP,Unreal,,
291,RPL_ENDOFCHECK,QuakeNet,,
292,RPL_CHANINFO_BANS,aircd,,
292,RPL_HELPTLR,Unreal,,
292,ERR_SEARCHNOMATCH,Nefarious,,
293,RPL_CHANINFO_INVITE,aircd,,
293,RPL_HELPHLP,Unreal,,
294,RPL_CHANINFO_INVITES,aircd,,
294,RPL_HELPFWD,Unreal,,
295,RPL_CHANINFO_KICK,aircd,,
295,RPL_HELPIGN,Unreal,,
296,RPL_CHANINFO_KICKS,aircd,,
299,RPL_END_CHANINFO,aircd,,
300,RPL_NONE,RFC1459,,"Dummy reply, supposedly only used for debugging/testing new features, however has appeared in production daemons."
301,RPL_AWAY,RFC1459,<client> <nick> :<message>,Used in reply to a command directed at a user who is marked as away
302,RPL_USERHOST,RFC1459,<client> :*1<reply> *( ' ' <reply> ),Reply used by USERHOST (see RFC)
303,RPL_ISON,RFC1459,<client> :*1<nick> *( ' ' <nick> ),Reply to the ISON command (see RFC)
304,RPL_TEXT,irc2?,<client> :<text>,"Displays text to the user. This seems to have been defined in irc2.7h but never used. Servers generally use specific numerics or server notices instead of this. Unreal uses this numeric, but most others don't use it"
305,RPL_UNAWAY,RFC1459,<client> :<info>,Reply from AWAY when no longer marked as away
306,RPL_NOWAWAY,RFC1459,<client> :<info>,Reply from AWAY when marked away
307,RPL_USERIP,,,
307,RPL_WHOISREGNICK,"Bahamut, Unreal",,
307,RPL_SUSERHOST,AustHex,,
308,RPL_NOTIFYACTION,aircd,,
308,RPL_WHOISADMIN,Bahamut,,
308,RPL_RULESSTART,Unreal,,Also known as RPL_RULESTART (InspIRCd)
309,RPL_NICKTRACE,aircd,,
309,RPL_WHOISSADMIN,Bahamut,,
309,RPL_ENDOFRULES,Unreal,,Also known as RPL_RULESEND (InspIRCd)
309,RPL_WHOISHELPER,AustHex,,
309,RPL_WHOISSERVICE,oftc-hybrid,,Reply to WHOIS - Client is a Network Service
310,RPL_WHOISSVCMSG,Bahamut,,
310,RPL_WHOISHELPOP,Unreal,,
310,RPL_WHOISSERVICE,AustHex,,
311,RPL_WHOISUSER,RFC1459,<client> <nick> <user> <host> * :<real_name>,Reply to WHOIS - Information about the user
312,RPL_WHOISSERVER,RFC1459,<client> <nick> <server> :<server_info>,Reply to WHOIS - What server they're on
313,RPL_WHOISOPERATOR,RFC1459,<client> <nick> :<privileges>,Reply to WHOIS - User has IRC Operator privileges
314,RPL_WHOWASUSER,RFC1459,<client> <nick> <user> <host> * :<real_name>,Reply to WHOWAS - Information about the user
315,RPL_ENDOFWHO,RFC1459,<client> <name> :<info>,Used to terminate a list of RPL_WHOREPLY replies
316,RPL_WHOISPRIVDEAF,Nefarious,,
316,RPL_WHOISCHANOP,RFC1459,,"This numeric was reserved, but never actually used. The source code notes ""redundant and not needed but reserved"""
317,RPL_WHOISIDLE,RFC1459,<client> <nick> <seconds> :seconds idle,Reply to WHOIS - Idle information
318,RPL_ENDOFWHOIS,RFC1459,<client> <nick> :<info>,Reply to WHOIS - End of list
319,RPL_WHOISCHANNELS,RFC1459,<client> <nick> :*( ( '@' / '+' ) <channel> ' ' ),Reply to WHOIS - Channel list for user (See RFC)
320,RPL_WHOISVIRT,AustHex,,
320,RPL_WHOIS_HIDDEN,Anothernet,,
320,RPL_WHOISSPECIAL,Unreal,,
321,RPL_LISTSTART,RFC1459,<client> Channels :Users Name,Channel list - Header
322,RPL_LIST,RFC1459,<client> <channel> <#_visible> :<topic>,Channel list - A channel
323,RPL_LISTEND,RFC1459,<client> :<info>,Channel list - End of list
324,RPL_CHANNELMODEIS,RFC1459,<client> <channel> <mode> <mode_params>,
325,RPL_UNIQOPIS,RFC2812,<client> <channel> <nickname>,
325,RPL_CHANNELPASSIS,,,
325,RPL_WHOISWEBIRC,Nefarious,,
325,RPL_CHANNELMLOCKIS,sorircd,<client> <nick> <channel> <modeletters> :is the current channel mode-lock,"Defined in header file in charybdis, but never used. Also known as RPL_CHANNELMLOCK."
326,RPL_NOCHANPASS,,,
327,RPL_CHPASSUNKNOWN,,,
327,RPL_WHOISHOST,rusnet-ircd,,
328,RPL_CHANNEL_URL,"Bahamut, AustHex",,Also known as RPL_CHANNELURL in charybdis
329,RPL_CREATIONTIME,Bahamut,,Also known as RPL_CHANNELCREATED (InspIRCd)
330,RPL_WHOWAS_TIME,,,
330,RPL_WHOISACCOUNT,ircu,<client> <nick> <authname> :<info>,"Also known as RPL_WHOISLOGGEDIN (ratbox?, charybdis)"
331,RPL_NOTOPIC,RFC1459,<client> <channel> :<info>,Response to TOPIC when no topic is set. Also known as RPL_NOTOPICSET (InspIRCd)
332,RPL_TOPIC,RFC1459,<client> <channel> :<topic>,Response to TOPIC with the set topic. Also known as RPL_TOPICSET (InspIRCd)
333,RPL_TOPICWHOTIME,ircu,,Also known as RPL_TOPICTIME (InspIRCd).
334,RPL_LISTUSAGE,ircu,,
334,RPL_COMMANDSYNTAX,Bahamut,,
334,RPL_LISTSYNTAX,Unreal,,
335,RPL_WHOISBOT,Unreal,,
335,RPL_WHOISTEXT,Hybrid,,Since hybrid 8.2.0
335,RPL_WHOISACCOUNTONLY,Nefarious,,
336,RPL_INVITELIST,Hybrid,<client> :<channel>,"Since hybrid 8.2.0. Not to be confused with the more widely used 346. A ""list of channels a client is invited to"" sent with /INVITE"
336,RPL_WHOISBOT,Nefarious,,
337,RPL_ENDOFINVITELIST,Hybrid,<client> :End of /INVITE list.,Since hybrid 8.2.0. Not to be confused with the more widely used 347.
337,RPL_WHOISTEXT,Hybrid?,,"Before hybrid 8.2.0, for ""User connected using a webirc gateway"". Since charybdis 3.4.0 for ""Underlying IPv4 is %s""."
338,RPL_CHANPASSOK,,,
338,RPL_WHOISACTUALLY,"ircu, Bahamut",,
339,RPL_BADCHANPASS,,,
339,RPL_WHOISMARKS,Nefarious,,
340,RPL_USERIP,ircu,,
341,RPL_INVITING,RFC1459,<client> <nick> <channel>,"Returned by the server to indicate that the attempted INVITE message was successful and is being passed onto the end client. Note that RFC1459 documents the parameters in the reverse order. The format given here is the format used on production servers, and should be considered the standard reply above that given by RFC1459."
342,RPL_SUMMONING,RFC1459,<client> <user> :<info>,Returned by a server answering a SUMMON message to indicate that it is summoning that user
343,RPL_WHOISKILL,Nefarious,,
344,RPL_WHOISCOUNTRY,InspIRCd 2.0,<client> <nick> :is connected from <country> <country code>,Used by the third-party m_geoipban InspIRCd module.
344,RPL_WHOISCOUNTRY,InspIRCd 3.0,<client> <nick> <country code> :is connecting from <country>,Used by InspIRCd's m_geoban module.
344,RPL_REOPLIST,IRCnet,<client> <channel> <mask>,MODE +R query
345,RPL_INVITED,GameSurge,<client> <channel> <user being invited> <user issuing invite> :<user being invited> has been invited by <user issuing invite>,Sent to users on a channel when an INVITE command has been issued. Also known as RPL_ISSUEDINVITE (ircu)
345,RPL_ENDOFREOPLIST,IRCnet,<client> <channel>: :End of Channel Reop List,MODE +R query
346,RPL_INVITELIST,RFC2812,<client> <channel> <invitemask>,An invite mask for the invite mask list. Also known as RPL_INVEXLIST in hybrid 8.2.0
347,RPL_ENDOFINVITELIST,RFC2812,<client> <channel> :<info>,Termination of an RPL_INVITELIST list. Also known as RPL_ENDOFINVEXLIST in hybrid 8.2.0
348,RPL_EXCEPTLIST,RFC2812,<client> <channel> <exceptionmask> [<who> <set-ts>],"An exception mask for the exception mask list. Also known as RPL_EXLIST (Unreal, Ultimate). Bahamut calls this RPL_EXEMPTLIST and adds the last two optional params, <who> being either the nickmask of the client that set the exception or the server name, and <set-ts> being a unix timestamp representing when it was set."
349,RPL_ENDOFEXCEPTLIST,RFC2812,<client> <channel> :<info>,"Termination of an RPL_EXCEPTLIST list. Also known as RPL_ENDOFEXLIST (Unreal, Ultimate) or RPL_ENDOFEXEMPTLIST (Bahamut)."
350,RPL_WHOISGATEWAY,InspIRCd 3.0,"<client> <real host> <real ip> :is connecting via {the <name> WebIRC, an ident} gateway",Used by InspIRCd's m_cgiirc module.
351,RPL_VERSION,RFC1459,<client> <version> <server> :<comments>,"Reply by the server showing its version details, however this format is not often adhered to"
352,RPL_WHOREPLY,RFC1459,<client> <channel> <user> <host> <server> <nick> <H|G>[*][@|+] :<hopcount> <real_name>,Reply to vanilla WHO (See RFC). This format can be very different if the 'WHOX' version of the command is used (see ircu).
353,RPL_NAMREPLY,RFC1459,<client> ( '=' / '*' / '@' ) <channel> ' ' : [ '@' / '+' ] <nick> *( ' ' [ '@' / '+' ] <nick> ),Reply to NAMES (See RFC)
354,RPL_WHOSPCRPL,ircu,,"Reply to WHO, however it is a 'special' reply because it is returned using a non-standard (non-RFC1459) format. The format is dictated by the command given by the user, and can vary widely. When this is used, the WHO command was invoked in its 'extended' form, as announced by the 'WHOX' ISUPPORT tag. Also known as RPL_RWHOREPLY (Bahamut)."
355,RPL_NAMREPLY_,QuakeNet,<client> ( '=' / '*' / '@' ) <channel> ' ' : [ '@' / '+' ] <nick> *( ' ' [ '@' / '+' ] <nick> ),"Reply to the \users (when the channel is set +D, QuakeNet relative). The proper define name for this numeric is unknown at this time. Also known as RPL_DELNAMREPLY (ircu)Also seeRPL_NAMREPLY (353)."
357,RPL_MAP,AustHex,,
358,RPL_MAPMORE,AustHex,,
359,RPL_MAPEND,AustHex,,
360,RPL_WHOWASREAL,Charybdis,,"Defined in header file, but never used. Initially introduced in charybdis 2.1 behind `""#if 0""`, with the other side using RPL_WHOISACTUALLY"
361,RPL_KILLDONE,RFC1459,,
362,RPL_CLOSING,RFC1459,,
363,RPL_CLOSEEND,RFC1459,,
364,RPL_LINKS,RFC1459,<client> <mask> <server> :<hopcount> <server_info>,Reply to the LINKS command
365,RPL_ENDOFLINKS,RFC1459,<client> <mask> :<info>,Termination of an RPL_LINKS list
366,RPL_ENDOFNAMES,RFC1459,<client> <channel> :<info>,Termination of an RPL_NAMREPLY list
367,RPL_BANLIST,RFC1459,<client> <channel> <banid> [[<setter> <time_left>|<time_left> :<reason>]],"A ban-list item (See RFC); <setter>, <time left> and <reason> are additions used by various servers."
368,RPL_ENDOFBANLIST,RFC1459,<client> <channel> :<info>,Termination of an RPL_BANLIST list
369,RPL_ENDOFWHOWAS,RFC1459,<client> <nick> :<info>,Reply to WHOWAS - End of list
371,RPL_INFO,RFC1459,<client> :<string>,Reply to INFO
372,RPL_MOTD,RFC1459,<client> :- <string>,Reply to MOTD
373,RPL_INFOSTART,RFC1459,,
374,RPL_ENDOFINFO,RFC1459,<client> :<info>,Termination of an RPL_INFO list
375,RPL_MOTDSTART,RFC1459,<client> :- <server> Message of the day -,Start of an RPL_MOTD list
376,RPL_ENDOFMOTD,RFC1459,<client> :<info>,Termination of an RPL_MOTD list
377,RPL_KICKEXPIRED,aircd,,
377,RPL_SPAM,AustHex,<client> :<text>,Used during the connection (after MOTD) to announce the network policy on spam and privacy. Supposedly now obsoleted in favor of using NOTICE.
378,RPL_BANEXPIRED,aircd,,
378,RPL_WHOISHOST,Unreal,,
378,RPL_MOTD,AustHex,,"Used by AustHex to 'force' the display of the MOTD, however is considered obsolete due to client/script awareness & ability to display the MOTD regardless.Also seeRPL_MOTD (372)."
379,RPL_KICKLINKED,aircd,,
379,RPL_WHOISMODES,Unreal,,
379,RPL_WHOWASIP,InspIRCd 2.0,<client> <nick> :was connecting from <host>,Moved to 652 in InspIRCd 3.0
380,RPL_BANLINKED,aircd,,
380,RPL_YOURHELPER,AustHex,,
381,RPL_YOUREOPER,RFC1459,<client> :<info>,Successful reply from OPER. Also known as RPL_YOUAREOPER (InspIRCd)
382,RPL_REHASHING,RFC1459,<client> <config_file> :<info>,Successful reply from REHASH
383,RPL_YOURESERVICE,RFC2812,<client> :You are service <service_name>,Sent upon successful registration of a service
384,RPL_MYPORTIS,RFC1459,,
385,RPL_NOTOPERANYMORE,"AustHex, Hybrid, Unreal",,
386,RPL_QLIST,Unreal,,
386,RPL_IRCOPS,Ultimate,,
386,RPL_IRCOPSHEADER,Nefarious,,
386,RPL_RSACHALLENGE,Hybrid,:*,Used by Hybrid's old OpenSSL OPER CHALLENGE response. This has been obsoleted in favor of SSL cert fingerprinting in oper blocks
387,RPL_ENDOFQLIST,Unreal,,
387,RPL_ENDOFIRCOPS,Ultimate,,
387,RPL_IRCOPS,Nefarious,,
388,RPL_ALIST,Unreal,,
388,RPL_ENDOFIRCOPS,Nefarious,,
389,RPL_ENDOFALIST,Unreal,,
391,RPL_TIME,RFC1459,<client> <server> :<time string>,Response to the TIME command. The string format may vary greatly.
391,RPL_TIME,ircu,<client> <server> <timestamp> <offset> :<time string>,This extension adds the timestamp and timestamp-offset information for clients.
391,RPL_TIME,bdq-ircd,<client> <server> <timezone name> <microseconds> :<time string>,"Timezone name is acronym style (eg. 'EST', 'PST' etc). The microseconds field is the number of microseconds since the UNIX epoch, however it is relative to the local timezone of the server. The timezone field is ambiguous, since it only appears to include American zones."
391,RPL_TIME,,<client> <server> <year> <month> <day> <hour> <minute> <second>,"Yet another variation, including the time broken down into its components. Time is supposedly relative to UTC."
392,RPL_USERSSTART,RFC1459,<client> :UserID Terminal Host,Start of an RPL_USERS list
393,RPL_USERS,RFC1459,<client> :<username> <ttyline> <hostname>,Response to the USERS command (See RFC)
394,RPL_ENDOFUSERS,RFC1459,<client> :<info>,Termination of an RPL_USERS list
395,RPL_NOUSERS,RFC1459,<client> :<info>,Reply to USERS when nobody is logged in
396,RPL_VISIBLEHOST,Hybrid,<client> <hostname> :is now your visible host,"Also known as RPL_YOURDISPLAYEDHOST (InspIRCd) or RPL_HOSTHIDDEN (ircu, charybdis, Quakenet, Unreal). <hostname> can also be in the form <user@hostname> (Quakenet)."
399,RPL_CLONES,InspIRCd 3.0,<client> <local-count> <global-count> <cidr-range>,
400,ERR_UNKNOWNERROR,,<client> <command> [<?>] :<info>,"Sent when an error occurred executing a command, but it is not specifically known why the command could not be executed."
401,ERR_NOSUCHNICK,RFC1459,<client> <nick> :<reason>,Used to indicate the nickname parameter supplied to a command is currently unused
402,ERR_NOSUCHSERVER,RFC1459,<client> <server> :<reason>,Used to indicate the server name given currently doesn't exist
403,ERR_NOSUCHCHANNEL,RFC1459,<client> <channel> :<reason>,"Used to indicate the given channel name is invalid, or does not exist"
404,ERR_CANNOTSENDTOCHAN,RFC1459,<client> <channel> :<reason>,Sent to a user who does not have the rights to send a message to a channel
405,ERR_TOOMANYCHANNELS,RFC1459,<client> <channel> :<reason>,Sent to a user when they have joined the maximum number of allowed channels and they tried to join another channel
406,ERR_WASNOSUCHNICK,RFC1459,<client> <nick> :<reason>,Returned by WHOWAS to indicate there was no history information for a given nickname
407,ERR_TOOMANYTARGETS,RFC1459,<client> <target> :<reason>,The given target(s) for a command are ambiguous in that they relate to too many targets
